ciudad,codigo,indicador,indicator_code
El Salvador,SLV,Agricultura," silvicultura y pesca, valor agregado (USD constantes de 2015),NV.AGR.TOTL.KD,,,,,,1453700582.02193,1482089766.11993,1567537425.05201,1595646502.51191,1654385853.60133,1762868732.92456,1818899992.43331,1856565342.45175,1903880649.21277,2069951225.18415,2182169411.4134,1988176653.49665,2058807287.49385,2340956032.45359,2368722547.08373,2241718327.38173,2006106789.03363,1848409839.61392,1891211502.68584,1948456872.93099,1909421744.86091,1828238614.54542,1852487709.24622,1833654797.70676,1823382408.02657,1942529921.03889,1880766033.29877,1981990627.42957,1904081954.75768,1788764669.80783,1792888945.92747,1742338212.94363,1679117695.44274,1599044864.233,1648440054.92622,1531235908.47818,1431363447.82283,1378101411.99305,1337180956.87072,1325531997.94815,1341339895.12032,1378370845.38532,1475748253.49804,1473005185.6554,1394828942.03405,1464776085.59651,1404429524.27974,1464776085.59651,1359169577.4249,1371513227.51323,1296080000,1404292393.65079,1413618683.59788,1375079161.90476,1389342899.4709,1328584863.49206,1370964622.22222,1353957858.20106,1359992516.40212,"
El Salvador,SLV,Empleos en agricultura (% del total de empleos),"SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8104381230072,26.6951890650255,26.5815722125803,26.4099111395407,26.1058792593204,25.8123793221709,25.5641956247926,25.081936897209,22.1361454167994,21.6153000029501,21.8081612785386,19.7472141872497,18.2418716824631,19.1294032533851,19.992303478375,18.8601955877394,18.0201937918211,18.6878788387451,20.9083205175197,20.7782421276402,21.5936027073005,20.9704530796517,19.5858267480347,18.7644350547107,18.1104974881509,18.6788345678394,18.5748187832526,16.7082474585578,16.2939567497318,15.7957344379758,14.8723074797535,14.9736929472953,,"
El Salvador,SLV,Empleo infantil en la agricultura," varones (% para cada edad de niños entre 7 y 14 años),SL.AGR.0714.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.3842140009,,,,63.72,,69.43,,71.53,70.61,66.46,,,,,,,,,,,"
El Salvador,SLV,Agricultura," valor agregado (% del crecimiento anual),NV.AGR.TOTL.KD.ZG,,,,,,,1.95289074305182,5.76534977066767,1.79319976739767,3.68122582269589,6.55729007154466,3.17841359723874,2.07077630299261,2.54853980515071,8.72274089450154,5.42129615731723,-8.88990363910864,3.55253311485086,13.7044757260015,1.18611858767122,-5.36171785329458,-10.5103096794187,-7.86084520932586,2.31559376901296,3.02691529550513,-2.0033868140668,-4.25171288291783,1.32636377483051,-1.0166281506462,-0.560213934107864,6.53442264704506,-3.17955914455571,5.38209390953635,-3.93082952026523,-6.05631940693053,0.230565607050153,-2.81951278123842,-3.6284871118155,-4.76874440827218,3.08904345325591,-7.11000355140517,-6.52234316752727,-3.72106999873353,-2.96933554861926,-0.871158003164467,1.19257001691683,2.76074322397423,7.06467409977063,-0.185876407859027,-5.30726194195751,5.01474707432288,-4.1198488909107,4.2968735898458,-7.209737325047,0.908175866599279,-5.5,8.34920634920636,0.664127356187123,-2.72630251285534,1.03730301216835,-4.3731490621915,3.18984205636418,-1.24049619847939,0.445705024311181,"
El Salvador,SLV,Agricultura," silvicultura y pesca, valor agregado por trabajador (USD constantes de 2015),NV.AGR.EMPL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3921.42860181677,4069.26004709106,3876.50102949373,3449.41645615542,3479.65449579213,3439.74273126366,3311.81332974039,3022.96622268136,3513.62627233681,3317.25627783803,3066.01196997041,3229.32781611083,3304.43920778197,3168.82603112966,3037.55901783698,3242.78672132135,3563.68570245608,3392.54712233012,2900.66369883508,2971.09345892272,2699.98132281467,2815.58989658722,2738.92394779855,2913.58403775752,2847.25371033819,2942.35294577222,2962.21243872764,3182.34152362028,3221.37232023105,3363.09998264564,3479.73965660405,3288.03732912912,,"
El Salvador,SLV,Empleados en agricultura," hombres (% del empleo masculino),SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6541794630097,38.6793764580469,39.4278825979278,39.1133033344871,38.3073428016893,37.6606202020825,37.5481633127419,37.2674698719794,33.9314835997474,33.9409333331223,33.8483172503796,31.6977610034827,28.5381782864814,30.072343311053,30.6753717630363,29.0386539447034,28.1796263033824,28.6809794413687,32.6670317839888,31.8201914074691,32.2509857803491,32.3764739736053,30.6235118193325,29.4507461042894,28.218871212528,29.183445941408,28.8701986754967,26.0176529420037,25.3166116047086,24.2776960877063,22.8347405667747,22.2419946355869,,"
El Salvador,SLV,Empleo infantil en la agricultura," mujeres (% para cada edad de niñas entre 7 y 14 años),SL.AGR.0714.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6059663899,,,,12.01,,17.87,,15.83,14.8,14.14,,,,,,,,,,,"
El Salvador,SLV,Empleo infantil en la agricultura (% para cada edad de niños entre 7 y 14 años),"SL.AGR.0714.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0257315811,,,,50.07,,56.06,,55.7,54.54,51.14,,,,,,,,,,,"
El Salvador,SLV,Agricultura," silvicultura y pesca, valor agregado (% del PIB),NV.AGR.TOTL.ZS,,,,,,41.3753816706922,38.6866339616146,38.5044048350748,37.3989920972318,36.2492853058891,40.4406312890584,39.1967085960948,38.0590637166461,39.8275001386655,37.2896006915264,35.333209385113,39.3337597138763,43.0059442009918,37.0362792363074,38.9024245851885,37.957893707761,34.3896232753623,32.5935147297336,31.1805349144201,28.9421253623402,26.911807975679,27.4289151799132,20.7535951200969,20.9751949936514,18.3100269559004,16.013677170061,15.7923919811473,12.9650323520698,12.7288103898567,12.4617820908552,11.528879161366,10.850327901368,10.9145568353713,9.46818464366379,7.93373157168383,7.17278477660919,6.68649259791156,5.82298419820808,5.48839713449193,5.72792591262587,6.17165600762008,6.04616656739515,6.99310770496862,7.09010840673402,6.66859073198944,6.98170850697531,7.33019190703113,6.5143562539307,5.61330655869503,5.86687215376832,5.52976674016479,5.73215390739613,5.39300914080881,5.13276852985202,5.1464335217926,5.35480047301112,4.81225514872015,4.67574397635181,4.60544302882029,"
El Salvador,SLV,Agricultura," valor agregado (UMN a precios actuales),NV.AGR.TOTL.CN,,,,,,363160000,359600000,375880000,377640100,380400000,458160000,464920000,480960000,574440000,621200000,665720100,915800100,1265080100,1158480000,1347439900,1356599900,1182040200,1107915200,1093298000,1059769000,1022747900,1034526300,821436800,878835500,800553800,771465656.08,829470500,753709100,850318800,956988100,1028600500,1040148000,1115653900,1035504100,895257900,845307500,821270700,737433800,726877400,786147000,907110000,967380000,1189650000,1275290000,1173780000,1287980000,1486840000,1393170000,1234420000,1325530000,1296080000,1386690000,1347130000,1335590000,1383420000,1334480000,1397630000,1495720000,1566570000,"
El Salvador,SLV,Empleados en agricultura," mujeres (% del empleo femenino),SL.AGR.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.43787890427195,5.52191615676819,5.82175975083174,5.86190991644315,5.79708188435536,5.8014187701343,5.97675132203444,6.31999672445436,4.67255920432015,3.76039250444021,4.0734117494842,2.62116749531633,3.84844049629122,3.37575808963643,4.76915594503174,4.69698882947736,3.80839741033569,4.75314481936999,4.75272317774431,5.31473200736499,6.57483362637495,5.04080152019112,4.49883136318542,4.05864913759626,3.83944438260683,4.0092028021088,3.89714122782089,3.39786760671362,3.36743040429384,3.50323960544974,3.32013126207915,4.49046036943588,,"
El Salvador,SLV,Agricultura," valor agregado (UMN: Unidades de moneda nacional, a precios constantes),NV.AGR.TOTL.KN,,,,,,1404961828.9,1432399198.4,1514982022.3,1542148676.4,1598918651.7,1703764385.7,1757917064.6,1794319594.6,1840048543.7,2000551210.5,2109007016.4,1921518324.9,1989780899.7,2262469940.1,2289305516.6,2166559414,1938847310.2,1786437524.3,1827804160.3,1883130244,1845403861,1766942587.3,1790378673.7,1772177180.1,1762249196.6,1877402007.2,1817708900,1915539700,1840243100,1728792100,1732778100,1683922200,1622821300,1545433100,1593172200,1479897600,1383373600,1331897300,1292348800,1281090400,1296368300,1332157700,1426270300,1423619200,1348064000,1415666000,1357342700,1415666000,1313600200,1325530000,1252625850,1357210167,1366223771,1328976378,1342761890,1284040911,1324999788,1308563216,1314395548,"
El Salvador,SLV,Agricultura," valor agregado (US$ a precios actuales),NV.AGR.TOTL.CD,,,,,,363160000,359600000,375880000,377640100,380400000,458160000,464920000,480960000,574440000,621200000,665720100,915800100,1265080100,1158480000,1347439900,1356599900,1182040200,1107915200,1093298000,1059769000,1022747900,1034526300,821436800,878835500,800553800,771465656.08,829470500,753709100,850318800,956988100,1028600500,1040148000,1115653900,1035504100,895257900,845307500,821270700,737433800,726877400,786147000,907110000,967380000,1189650000,1275290000,1173780000,1287980000,1486840000,1393170000,1234420000,1325530000,1296080000,1386690000,1347130000,1335590000,1383420000,1334480000,1397630000,1495720000,1566570000,"
