ciudad,codigo,indicador,indicator_code
El Salvador,SLV,Servicios de transporte (% de las importaciones de servicios comerciales),"TM.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,41.5037593984962,41.9773095623987,37.5162337662338,35.9897172236504,31.8898264607547,41.8814229249012,29.431108188096,31.8006376908877,35.3942341090656,30.8339483394834,35.6637374601446,37.6453165494261,31.5461422087746,31.8532712838763,45.9250123334979,50.2977757971074,53.2075471698114,53.4948741845293,52.7762198541783,55.0714453033498,59.3260560037969,41.1987041036718,43.3582430989782,40.3037667071689,43.2597909849045,38.1775414195132,44.3258971871969,45.0246925797982,49.7526026687814,47.5822315750949,46.8779812023526,47.257279295482,51.4799940502752,47.2991678943166,44.2731251488929,45.4581147980196,42.3880039655274,42.9030671422623,41.0078700183335,42.1125521960998,36.4995945858068,35.9999017611109,37.3488367897948,36.3601672462208,38.8597351337479,42.2269649085635,43.0728487937449,35.9927017367173,"
El Salvador,SLV,Importaciones de mercadería desde economías del mundo árabe (% del total de importaciones de mercadería),"TM.VAL.MRCH.AL.ZS,,,,,,0.05005005005005,0.0455580865603645,0.0448028673835125,,0.0340668093314269,0.0248155223433345,0.0460304770211013,0.0341602511317831,0.0272207114577634,0.0163206221705008,0.0217126613208981,0.0105869193039936,0.00814883799686746,0.00708766765246738,0.0202011651262477,0.0126621240867572,0.0177304603194336,0.00898765190007132,0.00818838214394278,0.00368313950811672,0.00374464048330827,,0.0101602707259463,0.00232380124627248,0.00800789423379951,0.00712776218182943,0.0117330432034146,0.0112451898847456,0.0141387333688241,0.00975071197678787,0.0353054162121175,0.0166710623057755,0.0125083890254076,0.11242795661498,0.015980457744078,0.0277777818826358,0.00432551295566606,0.0749447452809724,0.0724650721384031,0.0130461588392387,0.03560716950547,0.012045770852949,0.0304950115758445,0.0715147049291011,0.0627040163182461,0.0273282498927708,0.0892154451662045,0.140987468019008,0.197507654480837,0.171615386789205,0.253676579641545,0.238116607594719,0.192681006757867,0.393820366331747,0.255926139058587,0.294710454589066,,,,"
El Salvador,SLV,Importaciones de bienes de tecnologías de la información y la comunicación (TIC) (% del total de importaciones de bienes),"TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53,1.95,1.77,1.8,1.67,2.12,2.23,4.06,3.08,3.12,5.3,4.95,4.9,4.97,5.11,5.39,5.23,5.08,5.27,5.2,5.3,6.52,5.38,,"
El Salvador,SLV,Índice de valor unitario de las importaciones (2015 = 100),"TM.UVI.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,54.7,62.6,67.9,59.3,65.9,58,49.5,51.4,51.4,56.1,50.1,46.2,54.1,54.7,56.1,59.3,61.3,62.6,64.6,63.3,65.9,64.2,63,67.1,73.1,80.1,85.9,91.3,105.5,92.2,98.7,113.4,115.5,114.7,111.5,100,94.5,98.9,106.2,103.8,98.9,116.2,136.4,128.1,"
El Salvador,SLV,AOD neta recibida (% de las importaciones de bienes y servicios),"DT.ODA.ODAT.MP.ZS,,,,,,,,,,,,,,,,,1.8967345760565,2.27993508710679,2.59647106395519,2.6824373714671,6.52868740978911,9.2312737796414,15.6336803161166,20.3321627654499,18.0803033099851,24.5897684405373,24.8718066660247,31.1330086615656,27.6301519384952,21.8975244263555,18.3988926395238,15.420414144898,17.6597897500097,14.8102861129367,10.2829687047352,8.53478644530632,8.79060270414543,7.22125204322125,4.77024983488027,4.76538995212476,3.94542615417282,5.00682878304551,4.88404661074794,3.72306801813325,3.84485457366665,3.04591251199829,2.16241142706731,1.12657405632747,2.37782418511173,3.6444339268921,3.29084203304038,2.73296367539158,1.92145250055908,1.38410023075822,0.804732567330026,0.738791605236276,1.06616533672272,1.17650146088369,1.80813016821552,2.15571828432552,2.85730432504113,1.22830153753727,3.45985048690331,,"
El Salvador,SLV,Servicios de viaje (% de las importaciones de servicios," balanza de pagos),BM.GSR.TRVL.ZS,,,,,,,,,,,,,,,,,25.2449836677555,27.760736196319,40.1962311166485,38.916977115487,38.7889425186485,26.2870159453303,36.1998103066709,35.017053759948,30.6992891387006,30.6919796395653,26.3860369609856,26.9617993573724,22.0386643233743,26.4599377773244,19.3271461716937,17.6177413746475,15.9068547064611,15.7206537890044,16.3995726495727,14.2056912390769,14.4182888184699,23.6424541607899,23.5179640718563,19.9763453577765,17.0502631850552,19.6557971014493,18.2564690155638,20.9814684045725,15.8171807092394,18.4889478972298,18.183294098547,21.0769323927458,18.3698538163396,18.9767579456042,19.9090665522509,17.069212185391,19.5205853767137,16.4556971283049,17.0285728618693,19.3772843078145,23.646111053557,22.9457472859788,22.7451131304979,23.9639346742245,9.82928278830107,12.3291250809457,20.8157293895417,29.9882833163209,"
El Salvador,SLV,Importaciones de servicios (balanza de pagos," US$ a precios actuales),BM.GSR.NFSV.CD,,,,,,,,,,,,,,,,,171440000,208640000,256840000,300640000,273480000,263400000,253040000,246280000,241960000,290760000,281030058.839896,280100000,341400000,392140000,314675103.431492,322864864.864865,364676567.327819,386670126.71634,428927395.102391,509790109.942411,504625928.041119,647765881.513205,762992575.671045,845500000,968900000,993600000,1047300000,1091009896.78462,1061272368.31335,1114720000,1231900000,1321160000,1310680000,983887767,1099649747.1412,1186888656.89269,1336752990.71298,1471015928.74033,1457773697.99812,1517751647.12892,1741346407.30374,1823843541.94298,1947435377.61102,2012091510.09406,1502336915.42425,2297400776.37858,2773955258.83672,2647029806.35666,"
El Salvador,SLV,Importaciones de servicios comerciales (US$ a precios actuales),"TM.VAL.SERV.CD.WT,,,,,,,,,,,,,,,,,159600000,197440000,246400000,280080000,251240000,253000000,243280000,238360000,230320000,271000000,265016539.060005,270100000,330500000,365300000,295984424.434169,307896049.89605,348649456.792585,369893354.502199,408535013.604468,487630288.896292,481324957.167333,634518201.284797,748943460.879497,823000000,947300000,977800000,1031000000,1075409896.78462,1037272368.31335,1092950000,1205470000,1289960000,1277370000,952257767,1054239747.1412,1152281435.89269,1303299338.85298,1430525768.68033,1419911855.48312,1470813487.37392,1715347989.71874,1803529948.94298,1923457792.61102,1982754099.48406,1475706364.74425,2251261172.02858,2697814196.62672,2598039575.73666,"
El Salvador,SLV,Importaciones de minerales y metales (% de importaciones de mercaderías),"TM.VAL.MMTL.ZS.UN,,,,1.07956718876646,1.39146598005256,1.49814252164867,2.12964875082645,2.17100167893362,2.08896492094195,2.03341060779524,2.36675075803972,2.11530254252721,2.3888526199425,2.48998768811993,2.80064016506626,1.82577765388137,2.09892894135335,2.02586791287756,2.14005383500287,2.22046265559549,1.92384451094846,1.71082137884632,1.4145207188457,1.90308984915848,1.33294061039465,1.60269748772904,1.46495318114539,2.00874074249351,,,,,,,1.81724695415908,1.61866608316726,1.59026783336192,1.35802811940361,1.44246589545538,1.15226620004636,0.882118475758104,0.801067349565574,0.817419995720234,0.86790290474014,0.814614751448423,1.24090857503244,1.24214524285439,1.34037791115426,1.2459688286929,0.991850086458459,1.25786129239162,1.17072763901563,0.952472170911567,0.966386659375065,1.03819676223033,1.02071975668203,1.16389638380408,1.40150432315356,1.2296337511376,0.932691301308078,1.12653249086856,1.22821078228299,1.2347950220167,1.16685005201064,"
El Salvador,SLV,Importaciones de combustibles (% de importaciones de mercaderías),"TM.VAL.FUEL.ZS.UN,,,,8.25367657093433,6.54747508411893,5.1255400949739,4.93362241673843,4.88974053448209,5.65865613608494,4.21619893531151,2.45441226872531,5.28210659713007,4.61814301159764,5.75668630420314,9.30518230851035,8.41284011730818,7.32304454857217,9.79128799346017,7.81990943460949,9.42319007963196,17.7456603424638,20.8697117927144,24.6052917766287,22.553595251609,37.8294861762727,24.3081118642689,22.1262872916997,11.4448014692726,,,,,,,9.46264075263115,9.16440218185531,12.0791260479483,11.3183412194003,10.323414003052,11.4584228092693,12.0186037251618,9.9819718939316,9.71857375643253,10.8089613220782,11.062363069646,14.2725765645954,13.905815495924,16.2576866139252,18.6089834366652,15.235182203589,16.3602592016764,17.4729968324059,19.0170806392479,18.8912131454673,17.7358423484064,13.5759672883628,11.9826497877172,13.347029363139,16.0842802568995,14.6722246343868,10.3183478371368,13.1827913964546,16.5282960987398,16.328427184061,"
