ciudad,codigo,indicador,indicator_code
El Salvador,SLV,Consumo de fertilizantes (kilogramos por hectárea de tierras cultivables),"AG.CON.FERT.ZS,,42.2356557377049,54.0860655737705,93.9405737704918,108,72.9243697478992,113.095744680851,98.1056034482759,125.545851528384,118.681318681319,144.415555555556,165.573770491803,193.647540983607,225,202.049180327869,192.418032786885,215.149473684211,222.181052631579,216.563106796117,133.392857142857,108.15770609319,171.364341085271,125.530271398747,174.651063829787,114.289583333333,169.27,127.644230769231,177.832692307692,180.031481481481,144.392592592593,135.992727272727,137.173451327434,127.498299319728,127.508532423208,113.013698630137,120.080756013746,162.477876106195,167.079646017699,138,124.418383518225,124.029660341253,117.416559691913,79.8191506539642,86.5209619759506,98.3941128372854,150.892034233048,108.773178807947,152.488501189532,136.748591108328,122.923813939113,184.171498321636,194.467379840289,151.831532738095,151.176186976334,100.208030787104,116.83413689195,96.1122943845718,90.0871478626489,114.963328710125,59.3907489597781,80.9652427184466,92.1950624133148,,,"
El Salvador,SLV,Gasto de consumo final (UMN a precios actuales),"NE.CON.TOTL.CN,,,,,,765760000,823000000,861480000,910960000,939160000,979600000,1024680000,1072480000,1222280100,1429120000,1564720000,1901120000,2232480100,2602120100,2843120000,3066799900,3185080000,3143281700,3273723700,3472079500,3675609300,3436989500,3750191400,3925188100,4159077000,4760153272.4,5139227900,5672508200,6401371500,7291197400,8503287400,9360561900,9856813100,10220106100,10708274400,11476927200,12056299700,12389154600,12973837700,13701355500,14782960000,16240010000,17979200000,19248150000,18325780000,18996250000,20998410000,21984310000,22866650000,23181230000,23806450000,24175560000,24871310000,25863000000,26285820000,24969620000,29312430000,32505810000,33808560000,"
El Salvador,SLV,Gasto de consumo final de los hogares," PPA ($ a precios internacionales actuales),NE.CON.PRVT.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15136065148.1044,14822806358.6808,15211924538.6518,14980482691.6089,15815998793.3204,17140200062.7306,17504376620.9192,18033373050.0578,18230649928.3256,19302019620.4451,20850335361.7053,21549997276.0814,22017097392.2159,23152410289.2129,24119466740.0566,25664942267.6514,27907122925.6766,30580660369.6767,31794527572.5938,29253384442.6522,30536450830.0799,33136726373.7442,35782735412.7604,36504691238.6408,36995438174.2605,38132799538.2247,38918932301.7443,39730418686.864,42108438646.4333,43600670503.8509,40742750936.8683,47937992653.9762,54554925988.4547,56465801244.1768,"
El Salvador,SLV,Gasto de consumo final de los hogares (% del crecimiento anual),"NE.CON.PRVT.KD.ZG,,,,,,,8.48449627165945,4.68418742711137,0.614274540915005,1.50310025902129,5.98493274210345,3.0819332956155,4.3569038826476,7.07351971517416,1.91538125607732,0.594776891842159,11.0852705846746,12.5906846831252,1.21147135886137,-10.091666121764,-11.1669816543133,-10.8535163954141,-9.19423783743417,1.26672038410337,2.84976056261657,2.082105741837,-0.691179295228039,0.465488658364734,1.36126503991507,1.90548330470878,26.9879882021586,0.604172825480561,7.47457893131561,5.83652936566234,6.15490753174851,6.23254128756383,1.59490600935027,1.33142208189317,-0.741761214843322,2.56009941919926,2.25450621703031,1.3319865489502,0.752878736303828,0.7851682536933,1.58154924738187,4.04434827537207,4.42215378788984,7.09989036087212,-0.388936033616787,-6.54399968292356,0.920731164243605,1.57114159439774,3.21326958817751,3.48083782986161,-0.140830767680711,2.97391653210997,1.96979355275428,1.66372643779017,1.34041800531412,1.69062265460281,-8.12760961220556,9.55088062932361,2.51969905147529,3.41117816845988,"
El Salvador,SLV,Gasto de consumo final de los hogares (US$ a precios actuales),"NE.CON.PRVT.CD,,,,,,689720000,742000000,772160000,815880000,829520000,858120000,904080000,937640000,1071200100,1248000000,1353840000,1621240000,1902160100,2208080100,2387200000,2566839900,2641000000,2606949700,2718688200,2884884700,3086912300,2902126400,3206130100,3391746400,3625923200,4284142505.4,4604729400,5101060300,5782446500,6579652700,7631606700,8313008100,8744363600,8926617600,9296460900,9934781900,10360492200,10614180400,11145162900,11811369800,12726000000,13946530000,15539000000,16602150000,15491620000,16097790000,17802520000,18614400000,19280830000,19576630000,19939740000,20228380000,20841390000,21671130000,21976230000,20060930000,23693520000,26763190000,27681780000,"
El Salvador,SLV,Gasto de consumo final del gobierno general (US$ constantes de 2015),"NE.CON.GOVT.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1709362645.19754,1773553847.38211,1828569349.41215,1856497578.38469,1934461685.79186,2092383137.44819,2218549227.67622,2309187164.00372,2364400791.50556,2419645004.95556,2477212594.29633,2623747034.08868,2684701150.06144,2725790691.21065,2805513858.5096,2902116264.94219,3049874142.66118,3046085479.12992,3224152665.09896,3216575338.03645,3299925935.72408,3659848971.19342,3728044914.75603,3830338830.09994,3788663531.25612,3866710000,3828823364.68744,3832612028.21869,3895882709.19067,3913689427.78758,4255426878.30688,4638460761.31687,4582767407.40741,4730525285.1264,"
El Salvador,SLV,Gasto de consumo final de los hogares per cápita (US$ a precios constantes de 2015),"NE.CON.PRVT.PC.KD,,,,,,2152.28361027201,2272.75525591205,2316.67836968041,2270.90427755855,2247.78239909019,2324.29668702849,2338.47431932489,2382.46902614103,2490.32386519796,2478.51658121091,2436.56356212023,2648.11214432111,2918.62250962853,2892.93532973186,2550.22682212526,2227.28355799023,1968.00745843655,1767.35516235876,1755.48101209992,1770.57028134689,1772.39752554784,1726.85087302634,1701.87998452015,1690.6024579627,1690.00486451182,2107.57537301858,2083.85475879468,2202.85225792514,2298.80433203475,2413.69574751253,2539.52613200608,2558.24611307659,2572.12025947315,2534.62796255631,2582.50426572608,2625.37938878755,2647.19283196896,2656.83832536948,2670.77952586384,2709.06093359323,2817.61550961612,2943.8632774846,3147.81702054775,3123.1890205864,2907.74363237945,2923.55087693624,2958.20331275439,3041.39477039092,3134.86995953879,3118.41427735016,3200.05276785706,3252.9364344599,3298.53684051987,3337.59123778431,3391.92314534165,3110.04378089114,3395.5136342539,3468.86044708682,3795.26426209133,"
El Salvador,SLV,Gasto de consumo final del gobierno general (UMN a precios constantes),"NE.CON.GOVT.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1626317180.2,1687389800,1739732500,1766303900,1840480300,1990729500,2110766100,2197000600,2249531800,2302092100,2356862900,2496278300,2554271100,2593364400,2669214400,2761123600,2901703000,2898098400,3067514600,3060305400,3139606600,3482043600,3546926400,3644250600,3604600000,3678854760,3642808760,3646413360,3706610180,3723551800,4048686720,4413111780,4360124160,4500703560,"
El Salvador,SLV,Gasto de consumo final del gobierno general (US$ a precios actuales),"NE.CON.GOVT.CD,,,,,,76040000,81000000,89320000,95080000,109640000,121480000,120600000,134840000,151080000,181120000,210880000,279880000,330320000,394040000,455920000,499960000,544080000,536332000,555035500,587194800,588696900,534863200,544061300,533441800,533153800,476010767.01,534498500,571447900,618925000,711544700,871680700,1047553800,1112449500,1293488500,1411813500,1542145200,1695807500,1774974200,1828674800,1889985700,2056960000,2293480000,2440200000,2646000000,2834160000,2898460000,3195890000,3369910000,3585820000,3604600000,3866710000,3947180000,4029920000,4191870000,4309590000,4908690000,5618910000,5742620000,6126780000,"
El Salvador,SLV,Consumo medio o ingresos per cápita según encuestas," población total (USD por día según la PPA de 2017),SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.07,,,,,13.1,,"
