ciudad,codigo,indicador,indicator_code
El Salvador,SLV,Servicios de viaje (% de las exportaciones de servicios comerciales),"TX.VAL.TRVL.ZS.WT,,,,,,,,,,,,,,,,,30.1209677419355,30.4131599081867,33.5771762984638,20.6428098078197,10.9544112823877,12.7944907575208,18.2348650619985,19.052102950408,19.2868297761582,22.1427111020241,22.1308815575986,17.8184225771745,19.9239216249193,18.1262093502278,25.2485571560211,24.9505820338239,21.7499114417287,21.7239185750636,19.138019497178,20.5438066465257,16.2690737158822,19.6425889773239,22.1935325218246,21.7791711570491,18.8822146774615,16.8383153311563,19.6759444934627,26.8969617932446,22.5030539446434,24.9285092627129,25.8264113135252,31.8016306498852,28.1803275423701,25.2809488492275,26.6049254896357,26.2858372060015,30.8876888846587,29.9628960326718,36.2791802327888,33.88452979186,33.3161453883435,35.0370117821823,36.8653241857548,40.8020669974171,30.4059753297944,33.3709264719619,44.9302019523465,55.7501569726033,"
El Salvador,SLV,Exportaciones de servicios comerciales (US$ a precios actuales),"TX.VAL.SERV.CD.WT,,,,,,,,,,,,,,,,,99200000,104560000,109360000,120720000,121960000,110360000,109680000,127440000,153680000,195640000,190534093.133972,241660000,278660000,320420000,301080554.879533,283970893.970894,337645768.962423,361275149.597674,446570242.016326,415896435.200609,531467732.724158,760485367.594574,928954882.924049,1020700000,1148700000,1194300000,1246700000,1421691937.15393,1396869172.75003,1447740000,1477170000,1515960000,1506370000,1263085503.25538,1465781214.65485,1578363354.81226,1806512337.52143,2073098536.14548,2264148303.48667,2410782455.68829,2489182977.95316,2491103461.55834,2749445121.1119,3199630667.159,2092556410.72052,2975763420.18141,4148600541.00183,4941328915.08876,"
El Salvador,SLV,Exportaciones de metales y minerales (% de las exportaciones de mercaderías),"TX.VAL.MMTL.ZS.UN,,,,0.0801088654130179,0.100375637673325,0.16304104046123,0.169312953024204,0.415024893164728,0.621608472206477,0.918532109278294,1.03366430736348,1.02446483983721,0.941845053624276,1.17031093593594,1.38291313635332,0.976518623897061,0.926636844743071,0.983737319480503,1.50180730451698,1.12995487762401,2.56374880873253,2.42122094694837,2.24356586737885,2.13432871208182,2.0807149201838,2.21575637117323,1.11065150293855,2.27949316839574,,,,,,,2.48633351045412,2.86007290950737,2.19500666078485,1.88715125953098,2.34983392388896,2.49748173669244,1.07203175658097,1.0918389014826,1.15584362357537,1.31534426733791,1.34659452951972,1.44832477015354,1.85692050804381,2.00278861682249,1.74053641550667,1.29712979888706,1.69920510445875,2.00585034068723,1.77742535831435,1.36818616220759,1.53576875268343,1.23613153909728,1.12619341923859,1.15638828382003,1.26795177041228,1.06688895694381,0.90218527850289,1.06667410327226,1.12672812630008,1.12538630226481,"
El Salvador,SLV,Exportaciones de combustible (% de exportaciones de mercaderías),"TX.VAL.FUEL.ZS.UN,,,,3.12175271917722,2.87726088298074,1.96664317956131,1.59659167514406,2.0348202035076,1.77692816385142,1.40831618464565,0.481332013525114,0.467311187929477,0.579131437899182,0.535393865492902,0.848300773875269,1.23686821840045,0.833088413676305,0.682381203181942,0.921771709335544,0.844280406194432,2.79767420859042,4.33640942342963,3.05200272252675,2.63785573870549,2.69873456632106,2.51404092758215,1.08999617927698,1.28411444406028,,,,,,,0.540126703213827,0.0565357655124746,3.23067591345229,3.28093904664212,3.77818300040852,4.6829748256665,2.64228351172831,2.86889555601653,2.15866523854517,2.00487312073414,1.85819761530743,1.86278033146763,2.2630253508994,2.84937473805287,3.44085217496394,2.75552281120897,2.92291722483646,3.17562525140071,3.18128162520571,2.310418912892,2.57051935028685,1.9602368517525,2.85703125629467,3.1700621689001,3.53674673172561,3.37096131973082,3.20991367903261,3.88664003808006,4.79090726433674,5.29654060272418,"
El Salvador,SLV,Índice de volumen de exportaciones (2015 = 100),"TX.QTY.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,71.2384542292,64.487599138,58.2571165766,75.4635400475,69.8768592367,68.4648036402,45.1950260092,49.2228488323,50.7071808505,40.2723696621,52.2206403926,57.2793080261,56.2963869247,65.7081137559,58.4366542571,39.4605375135,43.9424155767,58.2441921768,58.5697566505,64.7040997911,76.5727908626,78.3512855115,82.4844192078,84.5412349705,87.3062554001,86.9848338361,90.1664996084,94.4225405211,99.0038223721,83.5948135763,93.6266806833,99.84564855,97.1229400239,99.3200055149,96.4395085692,100,100.0272937587,104.3322066426,103.6744842726,104.3076964579,88.4903803307,108.5835177305,,,"
El Salvador,SLV,Exportaciones como capacidad para importar (UMN a precios constantes),"NY.EXP.CAPM.KN,,,,,,1853780335.56264,1844988338.60382,2028573486.19149,1907562361.2748,1783434010.4841,2142661296.83915,2126122338.15479,2587957028.17313,2679304626.61233,2397159095.72899,2418239651.98153,3225350435.24166,4474752577.47357,3419738247.30336,4068750861.7883,3111126000.78174,2100271463.91146,1647655884.49895,1916723878.99759,1805413612.63474,1753984486.05611,1930197987.94073,1657086390.37668,1611121993.21165,1345134944.32736,2024233256.41024,1995886670.62169,2053568676.75871,2798870443.58844,3191202154.31976,3815890233.23496,3921133246.75191,5059970396.65523,5185967479.91779,5265417555.95015,5724149686.83597,5622887393.01699,5855539997.19474,5915842317.24397,5823197608.61937,5880030528.0191,6168065699.60736,6125937732.28688,5918240439.52369,5270864880.01834,5843220703.57301,6118750695.35077,6251908001.13426,6595087687.02802,6677020000,7191229950.40112,7327184476.76873,7425981037.00296,7362052969.18102,8050650417.74096,6199276628.69219,7401559317.18651,7716250092.10889,8482357094.64752,"
El Salvador,SLV,Total del servicio de la deuda (% de exportaciones de bienes," servicios e ingreso),DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,10.9415307011694,13.5333665127841,11.2497723113797,8.086918424702,7.96431527589789,10.1285698721913,15.503323723267,22.3374932748915,25.7345656753018,28.1969319185167,27.8770276183769,28.2727326594156,21.8018219812634,18.6742621284427,21.6636733349402,27.4604660216066,24.140231918395,21.742814553895,20.8711706776263,17.8777146309161,18.8491015166722,12.7615643768742,19.7246794637384,14.6672874233786,14.2473825296204,14.842816777415,18.8812777914614,25.0419661831873,30.5566100601225,24.9408049976826,31.6266579835059,24.0026076937612,20.2282119743436,27.4689659435892,22.1421208622625,22.1641311663657,19.1543997415953,17.4195673880003,19.264044887175,18.5797789323215,20.064853896716,51.6213408134885,45.5326503618114,67.7539094164093,82.1710889819099,67.9056651932233,32.0380366039654,,"
El Salvador,SLV,Exportaciones de bienes," servicios e ingresos primario (balanza de pagos, US$ a precios actuales),BX.GSR.TOTL.CD,,,,,,,,,,,,,,,,,899640000,1126400000,959600000,1355680000,1270760000,970200000,867840000,930840000,954240000,951360000,1055861834.44453,950660000,962820000,934580000,1002579703.09078,927954261.954262,1006957041.76218,1178166065.14788,1352198195.61793,1620979486.93541,1694917190.17705,2224125624.55389,2312507138.77785,2332900000,2650200000,2603500000,2679600000,2862191937.15393,2976050173.14003,3516830000,4005070000,4657280000,4989000000,4292765311.30289,5027624906.95867,5940297855.203,6188885212.23516,6611600026.26342,6732651568.22523,7038574510.83568,7004149337.11535,7388273026.80877,7789397195.01736,8300331326.17728,6288341535.72712,8540513327.28316,10459574219.1512,11073350367.8828,"
El Salvador,SLV,Seguro y servicios financieros (% de las exportaciones de servicios," balanza de pagos),BX.GSR.INSF.ZS,,,,,,,,,,,,,,,,,10.5752669652084,12.1458923512748,9.92063492063492,23.0977443609023,21.5787957360991,21.8800128328521,15.3321976149915,15.75382803298,12.043530834341,9.30689531975706,13.5846798324357,18.9413465769787,9.64634146341463,9.09349894592901,6.8745287621413,6.54764292878637,5.58198541071996,5.55240793201133,5.36044362292051,5.75877409787443,5.25741313443697,5.07726269315673,6.82755275284983,7.58885686839577,5.94548551959114,2.34849729019543,2.62520509414798,2.33607843950879,3.07348210995323,2.67247620143028,2.51324234648443,2.64856386124611,3.05100211829884,4.48764156241046,2.15159108825299,2.04285049549549,3.96643123286011,4.17099769528327,3.59427557531711,3.24710513869441,3.59503246406043,3.83146501634569,3.39539654755806,3.60505864252224,3.98638330498615,3.62881690751142,2.79284755202285,2.51624450948168,"
El Salvador,SLV,Exportaciones de servicios de TIC (% de exportaciones de servicios," balanza de pagos),BX.GSR.CCIS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2990608007909,14.2623249044934,10.0956585724798,10.4414261460101,7.70413064361191,7.48722316865417,7.84201018229594,6.23486209860145,7.48638002836734,8.35710865852451,6.94167236118347,7.81018094025607,9.89547172722364,9.8197816522731,10.6050422437098,11.2735145174577,8.95404836396763,8.51519977049307,6.84049831044829,7.33605356514054,7.42821695111337,7.23101492779548,7.99630857369023,7.71192721853065,7.36454210388868,10.7547898793991,10.4355739732835,8.96455490092851,8.2740143730229,"
